"Outcome","Week End","Age Group","Unvaccinated Rate","Vaccinated Rate","Boosted Rate","Crude Vaccinated Ratio","Crude Boosted Ratio","Age-Adjusted Unvaccinated Rate","Age-Adjusted Vaccinated Rate","Age-Adjusted Boosted Rate","Age-Adjusted Vaccinated Ratio","Age-Adjusted Boosted Ratio","Population Unvaccinated","Population Vaccinated","Population Boosted","Outcome Unvaccinated","Outcome Vaccinated","Outcome Boosted","Age Group Min","Age Group Max"
"Deaths","10/01/2022","All","0.3","0.1","0.9","3.0","0.3","0.4","0.3","0.6","1.3","0.7","591,822","842,535","1,037,067","2","1","9","999","999"
"Deaths","02/04/2023","50-64","2.9","0.8","0.4","3.6","7.3",,,,,,"34,169","125,516","246,849","1","1","1","50","64"
"Deaths","09/10/2022","5-11","0.0","0.0","0.0",,,,,,,,"95,349","82,126","17,689","0","0","0","5","11"
"Deaths","11/20/2021","5-11","0.0","0.0",,,,,,,,,"166,798","1",,"0","0",,"5","11"
"Deaths","04/09/2022","18-29","0.0","0.0","0.0",,,,,,,,"98,229","219,416","147,442","0","0","0","18","29"
"Hospitalizations","09/18/2021","12-17","0.0","0.0",,,,,,,,,"71,650","87,028",,"0","0",,"12","17"
"Cases","09/17/2022","5-11","123.0","119.8","213.0","1.0","0.6",,,,,,"95,128","81,802","18,308","117","98","39","5","11"
"Hospitalizations","12/04/2021","30-49","37.7","3.8","0.0","9.9",,,,,,,"185,523","469,462","103,054","70","18","0","30","49"
"Cases","05/15/2021","30-49","171.7","14.1",,"12.2",,,,,,,"338,871","332,283",,"582","47",,"30","49"
"Hospitalizations","08/21/2021","80+","34.6","15.1",,"2.3",,,,,,,"31,765","52,936",,"11","8",,"80","200"
"Hospitalizations","12/31/2022","All","17.1","8.7","12.8","2.0","1.3","21.8","12.5","8.4","1.7","2.6","555,407","853,931","1,040,154","95","74","133","999","999"
"Hospitalizations","05/06/2023","All","3.3","1.3","2.4","2.5","1.4","4.5","2.1","1.7","2.2","2.8","537,432","860,338","1,040,639","18","11","25","999","999"
"Deaths","07/24/2021","80+","0.0","0.0",,,,,,,,,"32,759","52,117",,"0","0",,"80","200"
"Cases","01/22/2022","65-79","582.4","416.6","253.6","1.4","2.3",,,,,,"50,480","66,009","141,953","294","275","360","65","79"
"Cases","05/29/2021","All","63.9","6.8",,"9.4",,"71.4","5.9",,"12.1",,"1,302,037","1,094,752",,"832","74",,"999","999"
"Cases","08/20/2022","50-64","422.0","150.5","180.5","2.8","2.3",,,,,,"40,519","126,270","244,938","171","190","442","50","64"
"Hospitalizations","12/04/2021","All","34.9","9.6","3.6","3.6","9.7","50.7","9.2","1.6","5.5","32.1","864,337","1,287,028","333,146","302","123","12","999","999"
"Deaths","01/22/2022","30-49","3.3","0.6","0.0","5.5",,,,,,,"149,571","332,274","256,937","5","2","0","30","49"
"Cases","01/01/2022","12-17","2,547.5","1,827.4","694.4","1.4","3.7",,,,,,"53,465","108,405","1,872","1,362","1,981","13","12","17"
"Cases","07/01/2023","All","10.5","5.5","10.5","1.9","1.0","12.1","5.4","8.2","2.3","1.5","532,370","860,333","1,040,733","56","47","109","999","999"
"Hospitalizations","06/04/2022","50-64","30.4","6.8","5.1","4.5","6.0",,,,,,"42,758","131,758","237,215","13","9","12","50","64"
"Hospitalizations","12/17/2022","65-79","63.5","41.5","31.5","1.5","2.0",,,,,,"40,932","43,361","171,648","26","18","54","65","79"
"Deaths","07/31/2021","65-79","8.6","0.0",,,,,,,,,"69,459","192,009",,"6","0",,"65","79"
"Deaths","10/16/2021","12-17","0.0","0.0",,,,,,,,,"65,944","97,454",,"0","0",,"12","17"
"Deaths","12/10/2022","All","0.4","0.1","0.3","4.0","1.3","0.3","0.1","0.2","2.2","1.5","560,620","851,689","1,039,873","2","1","3","999","999"
"Hospitalizations","12/03/2022","12-17","0.0","1.2","0.0","0.0",,,,,,,"33,965","86,108","44,513","0","1","0","12","17"
"Deaths","08/12/2023","5-11","0.0","0.0","0.0",,,,,,,,"89,770","82,673","21,260","0","0","0","5","11"
"Hospitalizations","01/29/2022","30-49","25.4","11.3","3.3","2.2","7.7",,,,,,"145,400","318,707","273,200","37","36","9","30","49"
"Hospitalizations","01/14/2023","0-4","2.5","0.0",,,,,,,,,"162,642",,,"4","0",,"0","4"
"Deaths","11/18/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Deaths","03/04/2023","30-49","0.0","0.4","0.3","0.0","0.0",,,,,,"110,600","277,895","347,260","0","1","1","30","49"
